,player_id,firstname,lastname,team,game_id,points,position,minutes,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,First Last Name,Points_Rebounds_Assist,Points_Rebounds,Points_Assist,Rebounds_Assist,id,date
35,374,Markieff,Morris,Dallas Mavericks,13467,6,PF,3,2,2,100.0,0,0,0,2,2,100.0,0,0,0,0,0,0,1,0,-2,Markieff Morris,6,6,6,0,13467,03/10/2024 12:00:00 AM
36,817,Maxi,Kleber,Dallas Mavericks,13467,0,PF,17,0,2,0,0,0,0,0,2,0,1,5,6,0,2,1,0,1,+6,Maxi Kleber,6,6,0,6,13467,03/10/2024 12:00:00 AM
37,215,Tim,Hardaway Jr.,Dallas Mavericks,13467,17,SF,18,6,13,46.2,1,4,25.0,4,8,50.0,0,1,1,2,0,0,0,0,+13,Tim Hardaway Jr.,20,18,19,3,13467,03/10/2024 12:00:00 AM
38,433,Dwight,Powell,Dallas Mavericks,13467,3,C,12,1,2,50.0,1,1,100.0,0,0,0,1,1,2,1,4,0,1,0,-7,Dwight Powell,6,5,4,3,13467,03/10/2024 12:00:00 AM
39,2593,Josh,Green,Dallas Mavericks,13467,8,SG,27,2,5,40.0,4,5,80.0,0,1,0,0,1,1,2,3,2,0,0,+9,Josh Green,11,9,10,3,13467,03/10/2024 12:00:00 AM
40,164,Dante,Exum,Dallas Mavericks,13467,2,G,18,1,3,33.3,0,0,0,0,1,0,1,1,2,5,2,0,0,0,+7,Dante Exum,9,4,7,7,13467,03/10/2024 12:00:00 AM
41,2890,A.J.,Lawson,Dallas Mavericks,13467,2,G,3,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,A.J. Lawson,2,2,2,0,13467,03/10/2024 12:00:00 AM
42,3407,Jaden,Hardy,Dallas Mavericks,13467,8,G,4,2,4,50.0,4,4,100.0,0,0,0,0,1,1,1,0,0,1,0,-4,Jaden Hardy,10,9,9,2,13467,03/10/2024 12:00:00 AM
43,153,Kevin,Durant,Phoenix Suns,13468,45,PF,37,18,26,69.2,5,7,71.4,4,7,57.1,1,9,10,6,2,1,6,0,-1,Kevin Durant,61,55,51,16,13468,03/10/2024 01:30:00 AM
44,851,Royce,O'Neale,Phoenix Suns,13468,3,PF,37,1,9,11.1,0,0,0,1,6,16.7,1,4,5,2,1,1,0,0,+10,Royce O'Neale,10,8,5,7,13468,03/10/2024 01:30:00 AM
45,398,Jusuf,Nurkic,Phoenix Suns,13468,11,C,28,5,6,83.3,1,3,33.3,0,0,0,5,6,11,4,2,1,3,1,+5,Jusuf Nurkic,26,22,15,15,13468,03/10/2024 01:30:00 AM
46,45,Bradley,Beal,Phoenix Suns,13468,25,SG,38,10,20,50.0,2,2,100.0,3,5,60.0,0,1,1,4,4,3,1,0,+1,Bradley Beal,30,26,29,5,13468,03/10/2024 01:30:00 AM
47,926,Grayson,Allen,Phoenix Suns,13468,7,SG,39,3,8,37.5,1,2,50.0,0,4,0,0,5,5,2,2,0,3,0,-16,Grayson Allen,14,12,9,7,13468,03/10/2024 01:30:00 AM
48,966,Drew,Eubanks,Phoenix Suns,13468,0,PF,11,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,-20,Drew Eubanks,1,1,0,1,13468,03/10/2024 01:30:00 AM
49,3483,David,Roddy,Phoenix Suns,13468,2,F,6,1,5,20.0,0,0,0,0,3,0,1,0,1,0,1,0,0,0,-6,David Roddy,3,3,2,1,13468,03/10/2024 01:30:00 AM
50,1849,Bol,Bol,Phoenix Suns,13468,13,C,10,6,7,85.7,0,0,0,1,2,50.0,1,3,4,0,0,0,0,0,-10,Bol Bol,17,17,13,4,13468,03/10/2024 01:30:00 AM
