,outcomes_description,outcomes_name,outcomes_price,outcomes_point,EV Percentage,bookmakers.title,bookmakers.markets.key,team,Outcome Last 30 Avg,Outcome Last 30 Avg Adjusted,True Odds,Percentage Hit,opposing team,Defensive Rating Adjustment,Outcome Last 30 STD,outcomes_point_adj,Date
4865,Tyler Herro,Over,-125,30.5,-0.022391487408857172,Caesars,player_points_rebounds_assists,Miami Heat,31.6,26.86458193844763,0.5203045685279164,0.5089093316363316,Boston Celtics,0.9189031040457524,9.12414379544733,31.0,2024-05-01
4866,Tyler Herro,Under,-109,30.5,-0.025585471247108332,Caesars,player_points_rebounds_assists,Miami Heat,31.6,26.86458193844763,0.48843902557501045,0.47625384647958235,Boston Celtics,0.9189031040457524,9.12414379544733,30.0,2024-05-01
4867,Haywood Highsmith,Over,-127,12.5,-0.1294768488556195,Caesars,player_points_rebounds_assists,Miami Heat,11.9,12.141791628629356,0.5239719135043246,0.4639067317185035,Boston Celtics,0.9189031040457524,5.523442147898613,13.0,2024-05-01
4868,Haywood Highsmith,Under,-108,12.5,0.033780028250821964,Caesars,player_points_rebounds_assists,Miami Heat,11.9,12.141791628629356,0.48628465443186036,0.5032856581835337,Boston Celtics,0.9189031040457524,5.523442147898613,12.0,2024-05-01
4869,Jaylen Brown,Over,-117,33.5,-0.14964282111898528,Caesars,player_points_rebounds_assists,Boston Celtics,29.1,32.043258864532326,0.5049591803317013,0.43923136043263233,Miami Heat,1.016064260313952,6.855643227536404,34.0,2024-05-01
4870,Jaylen Brown,Under,-117,33.5,0.0792739185213793,Caesars,player_points_rebounds_assists,Boston Celtics,29.1,32.043258864532326,0.5049591803317013,0.5484358382905508,Miami Heat,1.016064260313952,6.855643227536404,33.0,2024-05-01
4871,Derrick White,Over,-106,25.5,-0.06255325512875572,Caesars,player_points_rebounds_assists,Boston Celtics,23.0,25.703440330530498,0.4819131634714876,0.45354259764899163,Miami Heat,1.016064260313952,10.733766651897932,26.0,2024-05-01
4872,Derrick White,Under,-129,25.5,0.006469627342591767,Caesars,player_points_rebounds_assists,Boston Celtics,23.0,25.703440330530498,0.5275752000531972,0.5310106410155184,Miami Heat,1.016064260313952,10.733766651897932,25.0,2024-05-01
4873,Jayson Tatum,Over,-109,43.5,-0.17999751018565166,Caesars,player_points_rebounds_assists,Boston Celtics,35.6,38.631127863356994,0.48843902557501045,0.41393225100802394,Miami Heat,1.016064260313952,5.967929102944988,44.0,2024-05-01
4874,Jayson Tatum,Under,-125,43.5,0.09662248549659304,Caesars,player_points_rebounds_assists,Boston Celtics,35.6,38.631127863356994,0.5203045685279164,0.575954747793265,Miami Heat,1.016064260313952,5.967929102944988,43.0,2024-05-01
4875,Jrue Holiday,Over,-111,21.5,-0.24314161153914773,Caesars,player_points_rebounds_assists,Boston Celtics,16.9,19.40090485754096,0.4926865061226431,0.39632371851236026,Miami Heat,1.016064260313952,5.721758942023423,22.0,2024-05-01
4876,Jrue Holiday,Under,-123,21.5,0.11498287369183562,Caesars,player_points_rebounds_assists,Boston Celtics,16.9,19.40090485754096,0.5165714415788372,0.5836852488196552,Miami Heat,1.016064260313952,5.721758942023423,21.0,2024-05-01
4877,Caleb Martin,Over,-119,19.5,-0.3820189036468448,Caesars,player_points_rebounds_assists,Miami Heat,14.9,15.153979614016675,0.5089006327793594,0.3682298638871597,Boston Celtics,0.9189031040457524,6.799658194534487,20.0,2024-05-01
4878,Caleb Martin,Under,-115,19.5,0.17422263816312872,Caesars,player_points_rebounds_assists,Miami Heat,14.9,15.153979614016675,0.5009443985361799,0.6066337268218056,Boston Celtics,0.9189031040457524,6.799658194534487,19.0,2024-05-01
4879,Bam Adebayo,Over,-117,36.5,-0.3064134281271612,Caesars,player_points_rebounds_assists,Miami Heat,27.7,32.24774962223528,0.5049591803317013,0.3865232624373718,Boston Celtics,0.9189031040457524,9.852000510683096,37.0,2024-05-01
4880,Bam Adebayo,Under,-117,36.5,0.16058129136834998,Caesars,player_points_rebounds_assists,Miami Heat,27.7,32.24774962223528,0.5049591803317013,0.6015581677406778,Boston Celtics,0.9189031040457524,9.852000510683096,36.0,2024-05-01
4881,Payton Pritchard,Over,-106,12.5,0.28922507247304485,Caesars,player_points_rebounds_assists,Boston Celtics,22.4,20.339986664173164,0.4819131634714876,0.6780109213309465,Miami Heat,1.016064260313952,15.044011434201108,13.0,2024-05-01
4882,Payton Pritchard,Under,-129,12.5,-0.7322101427306357,Caesars,player_points_rebounds_assists,Boston Celtics,22.4,20.339986664173164,0.5275752000531972,0.30456766591929424,Miami Heat,1.016064260313952,15.044011434201108,12.0,2024-05-01
5121,Ivica Zubac,Over,-108,26.5,-0.02615814990374833,DraftKings,player_points_rebounds_assists,LA Clippers,25.5,22.901336086202235,0.48628465443186036,0.4738886052578474,Los Angeles Clippers,0.98504954843609,7.112336309790109,27.0,2024-05-01
5122,Ivica Zubac,Under,-112,26.5,0.027381327114116283,DraftKings,player_points_rebounds_assists,LA Clippers,25.5,22.901336086202235,0.49478019346805635,0.5087093300398813,Los Angeles Clippers,0.98504954843609,7.112336309790109,26.0,2024-05-01
5123,James Harden,Over,102,36.5,-0.13258110999048467,DraftKings,player_points_rebounds_assists,LA Clippers,30.2,29.670773024742,0.46363773433180666,0.4093638241376831,Los Angeles Clippers,0.98504954843609,10.34987922634849,37.0,2024-05-01
5124,James Harden,Under,-122,36.5,0.10876568303055423,DraftKings,player_points_rebounds_assists,LA Clippers,30.2,29.670773024742,0.5146796542735605,0.5774908399215123,Los Angeles Clippers,0.98504954843609,10.34987922634849,36.0,2024-05-01
5125,Kyrie Irving,Over,100,36.5,0.09043097333357804,DraftKings,player_points_rebounds_assists,Dallas Mavericks,38.4,37.65084060857604,0.4682741116751247,0.5148307582453123,Los Angeles Clippers,0.98504954843609,9.076475191532065,37.0,2024-05-01
5126,Kyrie Irving,Under,-120,36.5,-0.0763975319316445,DraftKings,player_points_rebounds_assists,Dallas Mavericks,38.4,37.65084060857604,0.5108444854637724,0.4745871950737741,Los Angeles Clippers,0.98504954843609,9.076475191532065,36.0,2024-05-01
5127,Luka Doncic,Over,-108,52.5,0.010571565031791335,DraftKings,player_points_rebounds_assists,Dallas Mavericks,51.9,51.50496069881976,0.48628465443186036,0.49148037113718607,Los Angeles Clippers,0.98504954843609,7.3684763991238,53.0,2024-05-01
