outcomes_description,outcomes_name,outcomes_price,outcomes_point,EV Percentage,bookmakers.title,bookmakers.markets.key,team,Outcome Last 30 Avg,Outcome Last 30 Avg Adjusted,True Odds,Percentage Hit,opposing team,Defensive Rating,Defensive Rating Adjustment,Outcome Last 30 STD,outcomes_point_adj,Date
Chet Holmgren,Over,-111,19.5,0.3459380388037652,FanDuel,player_points_assists,Oklahoma City Thunder,22.0,24.447750661570133,0.4926865061226431,0.753271915127969,Los Angeles Lakers,125.98,0.8998782875588716,6.494753127087909,20.0,2024-03-04
Chet Holmgren,Under,-115,19.5,-1.4948317231009676,FanDuel,player_points_assists,Oklahoma City Thunder,22.0,24.447750661570133,0.5009443985361799,0.20079286065575908,Los Angeles Lakers,125.98,0.8998782875588716,6.494753127087909,19.0,2024-03-04
Shai Gilgeous-Alexander,Over,-122,37.5,0.37094598417446073,FanDuel,player_points_assists,Oklahoma City Thunder,37.54545454545455,41.72281414557217,0.5146796542735605,0.8181803808980068,Los Angeles Lakers,125.98,0.8998782875588716,4.09797369803078,38.0,2024-03-04
Shai Gilgeous-Alexander,Under,-104,37.5,-2.833051901301626,FanDuel,player_points_assists,Oklahoma City Thunder,37.54545454545455,41.72281414557217,0.4774559570020879,0.12456287295247781,Los Angeles Lakers,125.98,0.8998782875588716,4.09797369803078,37.0,2024-03-04
Jalen Williams,Over,-120,25.5,0.2987061994693351,BetMGM,player_points_assists,Oklahoma City Thunder,27.666666666666668,30.74489855924729,0.5108444854637724,0.7284314863146079,Los Angeles Lakers,125.98,0.8998782875588716,7.803133273813083,26.0,2024-03-04
Jalen Williams,Under,-110,25.5,-1.1255742457170472,BetMGM,player_points_assists,Oklahoma City Thunder,27.666666666666668,30.74489855924729,0.49057287889774975,0.2307954567506808,Los Angeles Lakers,125.98,0.8998782875588716,7.803133273813083,25.0,2024-03-04
Shai Gilgeous-Alexander,Over,-115,37.5,0.38773354845497465,BetMGM,player_points_assists,Oklahoma City Thunder,37.54545454545455,41.72281414557217,0.5009443985361799,0.8181803808980068,Los Angeles Lakers,125.98,0.8998782875588716,4.09797369803078,38.0,2024-03-04
Shai Gilgeous-Alexander,Under,-115,37.5,-3.0216188553012584,BetMGM,player_points_assists,Oklahoma City Thunder,37.54545454545455,41.72281414557217,0.5009443985361799,0.12456287295247781,Los Angeles Lakers,125.98,0.8998782875588716,4.09797369803078,37.0,2024-03-04
Luguentz Dort,Over,-125,11.5,0.18576753556804493,BetMGM,player_points_assists,Oklahoma City Thunder,12.818181818181818,14.244350592071854,0.5203045685279164,0.6390123106807146,Los Angeles Lakers,125.98,0.8998782875588716,6.307545003164238,12.0,2024-03-04
Luguentz Dort,Under,-105,11.5,-0.5805447495956918,BetMGM,player_points_assists,Oklahoma City Thunder,12.818181818181818,14.244350592071854,0.479695431472079,0.3035000632502095,Los Angeles Lakers,125.98,0.8998782875588716,6.307545003164238,11.0,2024-03-04
Chet Holmgren,Over,-120,19.5,0.3218325611184004,BetMGM,player_points_assists,Oklahoma City Thunder,22.0,24.447750661570133,0.5108444854637724,0.753271915127969,Los Angeles Lakers,125.98,0.8998782875588716,6.494753127087909,20.0,2024-03-04
Chet Holmgren,Under,-110,19.5,-1.4431788923949438,BetMGM,player_points_assists,Oklahoma City Thunder,22.0,24.447750661570133,0.49057287889774975,0.20079286065575908,Los Angeles Lakers,125.98,0.8998782875588716,6.494753127087909,19.0,2024-03-04
LeBron James,Over,-115,32.5,0.2921751174913327,BetMGM,player_points_assists,Los Angeles Lakers,35.8,35.1978947368421,0.5009443985361799,0.7077236346379019,Oklahoma City Thunder,111.46,1.01710628626114,4.019950248448356,33.0,2024-03-04
LeBron James,Under,-115,32.5,-1.3500907561656101,BetMGM,player_points_assists,Los Angeles Lakers,35.8,35.1978947368421,0.5009443985361799,0.21315959701637943,Oklahoma City Thunder,111.46,1.01710628626114,4.019950248448356,32.0,2024-03-04
Anthony Davis,Over,-110,28.5,-0.10595803526784009,BetMGM,player_points_assists,Los Angeles Lakers,28.333333333333332,27.856806821523083,0.49057287889774975,0.44357277876184803,Oklahoma City Thunder,111.46,1.01710628626114,8.055363982396381,29.0,2024-03-04
Anthony Davis,Under,-120,28.5,-0.007401448626877591,BetMGM,player_points_assists,Los Angeles Lakers,28.333333333333332,27.856806821523083,0.5108444854637724,0.5070912754394693,Oklahoma City Thunder,111.46,1.01710628626114,8.055363982396381,28.0,2024-03-04
Josh Giddey,Over,-130,12.5,0.1434456612810396,BetMGM,player_points_assists,Oklahoma City Thunder,13.454545454545455,14.95151693352223,0.5293533436327497,0.618003224902738,Los Angeles Lakers,125.98,0.8998782875588716,6.499841066079811,13.0,2024-03-04
Josh Giddey,Under,100,12.5,-0.44136764356640074,BetMGM,player_points_assists,Oklahoma City Thunder,13.454545454545455,14.95151693352223,0.4682741116751247,0.3248817980376374,Los Angeles Lakers,125.98,0.8998782875588716,6.499841066079811,12.0,2024-03-04
LeBron James,Over,-113,32.5,0.2979544592550286,Caesars,player_points_assists,Los Angeles Lakers,35.8,35.1978947368421,0.4968542217773624,0.7077236346379019,Oklahoma City Thunder,111.46,1.01710628626114,4.019950248448356,33.0,2024-03-04
LeBron James,Under,-121,32.5,-1.4055719465531524,Caesars,player_points_assists,Los Angeles Lakers,35.8,35.1978947368421,0.5127707467211774,0.21315959701637943,Oklahoma City Thunder,111.46,1.01710628626114,4.019950248448356,32.0,2024-03-04
Shai Gilgeous-Alexander,Over,-119,37.5,0.3780092450752639,Caesars,player_points_assists,Oklahoma City Thunder,37.54545454545455,41.72281414557217,0.5089006327793594,0.8181803808980068,Los Angeles Lakers,125.98,0.8998782875588716,4.09797369803078,38.0,2024-03-04
Shai Gilgeous-Alexander,Under,-115,37.5,-3.0216188553012584,Caesars,player_points_assists,Oklahoma City Thunder,37.54545454545455,41.72281414557217,0.5009443985361799,0.12456287295247781,Los Angeles Lakers,125.98,0.8998782875588716,4.09797369803078,37.0,2024-03-04
Anthony Davis,Over,-131,28.5,-0.19735952578584331,Caesars,player_points_assists,Los Angeles Lakers,28.333333333333332,27.856806821523083,0.5311160920297952,0.44357277876184803,Oklahoma City Thunder,111.46,1.01710628626114,8.055363982396381,29.0,2024-03-04
Anthony Davis,Under,-104,28.5,0.05844178330951958,Caesars,player_points_assists,Los Angeles Lakers,28.333333333333332,27.856806821523083,0.4774559570020879,0.5070912754394693,Oklahoma City Thunder,111.46,1.01710628626114,8.055363982396381,28.0,2024-03-04
Jalen Williams,Over,-121,25.5,0.29606180353973205,Caesars,player_points_assists,Oklahoma City Thunder,27.666666666666668,30.74489855924729,0.5127707467211774,0.7284314863146079,Los Angeles Lakers,125.98,0.8998782875588716,7.803133273813083,26.0,2024-03-04
Jalen Williams,Under,-113,25.5,-1.1527903052012602,Caesars,player_points_assists,Oklahoma City Thunder,27.666666666666668,30.74489855924729,0.4968542217773624,0.2307954567506808,Los Angeles Lakers,125.98,0.8998782875588716,7.803133273813083,25.0,2024-03-04
Luguentz Dort,Over,-123,11.5,0.1916095622186778,Caesars,player_points_assists,Oklahoma City Thunder,12.818181818181818,14.244350592071854,0.5165714415788372,0.6390123106807146,Los Angeles Lakers,125.98,0.8998782875588716,6.307545003164238,12.0,2024-03-04
Luguentz Dort,Under,-111,11.5,-0.6233489405122982,Caesars,player_points_assists,Oklahoma City Thunder,12.818181818181818,14.244350592071854,0.4926865061226431,0.3035000632502095,Los Angeles Lakers,125.98,0.8998782875588716,6.307545003164238,11.0,2024-03-04
Chet Holmgren,Over,-127,19.5,0.30440535086813897,Caesars,player_points_assists,Oklahoma City Thunder,22.0,24.447750661570133,0.5239719135043246,0.753271915127969,Los Angeles Lakers,125.98,0.8998782875588716,6.494753127087909,20.0,2024-03-04
Chet Holmgren,Under,-108,19.5,-1.4218224335453378,Caesars,player_points_assists,Oklahoma City Thunder,22.0,24.447750661570133,0.48628465443186036,0.20079286065575908,Los Angeles Lakers,125.98,0.8998782875588716,6.494753127087909,19.0,2024-03-04
