,First Last Name,team,position,points,minutes,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,Points_Rebounds_Assist,Points_Rebounds,Points_Assist,Rebounds_Assist,points_deviation,totReb_deviation,assists_deviation,tpm_deviation,Points_Rebounds_Assist_deviation,Points_Rebounds_deviation,Points_Assist_deviation,Rebounds_Assist_deviation,count
169,Gordon Hayward,Oklahoma City Thunder,SF,54,188,16,35,423.8,12,18,400.0,10,17,500.0,4,18,22,25,12,4,6,0,0,101,76,79,47,140.87566924449732,29.60023795359905,42.783462224866156,8.380725758477098,279.67340868530636,198.9244497323022,197.54729327781084,96.46103509815586,10
170,Gradey Dick,Toronto Raptors,G,126,319,49,120,383.7,10,12,533.3,18,55,323.3,5,21,26,20,18,6,15,2,-120,172,152,146,46,366.144,26.656,36.304,15.636,480.704,424.41599999999994,402.896,82.496,10
171,Grant Williams,Charlotte Hornets,PF,128,301,48,103,474.5,18,25,488.9,14,44,405.9,14,30,44,25,27,12,21,5,-84,197,172,153,69,349.87934027777777,22.40277777777778,25.75434027777778,6.462673611111112,461.9340277777778,449.6640625,340.26736111111114,70.0390625,10
172,Grayson Allen,Phoenix Suns,SG,153,339,53,92,572.2,15,18,591.7,32,63,405.8,2,26,28,29,17,9,12,5,35,210,181,182,57,587.0240054869685,15.929355281207133,34.281207133058984,73.67901234567903,702.4938271604938,538.1906721536351,757.6165980795611,43.921124828532236,10
173,Gui Santos,Golden State Warriors,F,41,109,14,26,422.5,8,9,350.0,5,10,300.0,9,21,30,9,15,2,5,2,6,80,71,50,39,150.84895833333334,118.515625,15.515625,4.223958333333334,547.9739583333333,477.39583333333326,173.39583333333337,182.0625,9
174,Harrison Barnes,Sacramento Kings,SF,121,285,43,101,415.2,16,21,450.0,19,49,284.3,7,29,36,13,13,4,7,1,-9,170,157,134,49,296.0803324099723,30.559556786703602,12.21452754693752,44.905201600492454,415.7703908895045,339.2991689750693,353.8811942136042,61.44444444444444,10
175,Harry III Giles,Brooklyn Nets,F,8,8,3,6,50.0,1,2,50.0,1,1,100.0,2,2,4,2,3,0,0,0,-12,14,12,10,6,47.53739612188365,10.994459833795014,3.3933518005540164,0.8005540166204986,145.26592797783934,104.25484764542938,76.33240997229916,26.60387811634349,1
176,Harry III Giles,Los Angeles Lakers,F,2,10,1,4,100.0,0,0,0.0,0,2,0.0,0,1,1,0,0,1,0,0,-15,3,3,2,1,2.022160664819945,0.5678670360110804,0.04986149584487534,0.022160664819944595,4.900277008310249,4.667590027700831,2.1385041551246537,0.7340720221606647,2
177,Haywood Highsmith,Miami Heat,F,52,156,20,35,429.5,1,4,50.0,11,19,350.0,8,16,24,12,8,3,1,0,-34,88,76,64,36,430.15625,49.75434027777777,9.65625,23.06684027777778,824.0251736111111,731.0251736111111,495.625,86.94184027777779,10
178,Herbert Jones,New Orleans Pelicans,SF,89,328,28,62,422.4,22,25,700.0,11,33,298.3,6,26,32,33,33,15,14,17,-3,154,121,122,65,187.63806747188676,24.033319450229072,12.771761765930862,6.754269054560599,279.10453977509377,222.47438567263643,222.5472719700125,58.526030820491464,10
179,Hunter Tyson,Denver Nuggets,F,0,7,0,3,0.0,0,0,0.0,0,3,0.0,0,1,1,0,1,0,2,0,-1,1,1,0,1,15.015625,0.25,0.390625,0.765625,16.0,11.390625,20.25,0.015625,1
180,Ibou Badji,Portland Trail Blazers,C,7,32,3,4,150.0,1,2,50.0,0,0,0.0,1,2,3,4,6,0,5,3,-17,14,10,11,7,17.5207100591716,3.437869822485207,3.3668639053254443,0.0,44.514792899408285,34.094674556213015,26.0,8.745562130177515,3
181,Immanuel Quickley,Toronto Raptors,SG,195,364,68,158,420.7,33,45,597.2,26,77,328.3,2,55,57,88,17,11,26,3,-71,340,252,283,145,477.0639999999999,39.496,197.456,20.976,930.7840000000001,541.9359999999999,785.464,317.4,10
182,Isaac Okoro,Cleveland Cavaliers,SF,86,317,33,79,426.7,6,10,225.0,14,40,408.4,9,21,30,17,24,8,12,3,-62,133,116,103,47,113.3501275510204,37.151147959183675,16.40625,6.441326530612245,273.0082908163265,211.72704081632654,161.81887755102042,66.36989795918367,10
183,Isaiah Hartenstein,New York Knicks,C,96,229,41,53,807.4,14,18,580.0,0,0,0.0,30,52,82,28,28,10,9,15,129,206,178,124,110,262.48350694444446,85.87934027777777,13.7890625,0.0,322.6501736111111,289.1006944444444,249.43402777777777,146.2673611111111,10
184,Isaiah Jackson,Indiana Pacers,SF,89,171,36,53,744.3,17,25,608.3,0,1,0.0,23,33,56,11,26,9,9,9,26,156,145,100,67,258.6274238227147,196.9819944598338,28.922437673130197,0.0,880.0,743.7645429362882,312.7714681440443,307.9958448753462,10
