,First Last Name,team,position,points,minutes,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,Points_Rebounds_Assist,Points_Rebounds,Points_Assist,Rebounds_Assist,points_deviation,totReb_deviation,assists_deviation,tpm_deviation,Points_Rebounds_Assist_deviation,Points_Rebounds_deviation,Points_Assist_deviation,Rebounds_Assist_deviation,count
329,Matisse Thybulle,Portland Trail Blazers,SG,54,230,19,55,296.6,8,11,350.0,8,30,253.3,7,20,27,13,16,24,10,4,-76,94,81,67,40,285.1111111111111,26.5,12.753086419753087,8.0,497.4382716049382,390.9444444444444,384.8271604938272,46.03086419753087,10
330,Matt Ryan,New Orleans Pelicans,F,26,49,9,21,200.0,0,0,0.0,8,17,194.4,1,8,9,2,5,0,2,0,-9,37,35,28,11,136.55555555555557,7.25,1.2222222222222223,11.555555555555557,204.80555555555554,200.80555555555557,141.55555555555554,7.472222222222223,5
331,Matthew Hurt,Memphis Grizzlies,F,32,110,12,33,215.9,3,3,200.0,5,19,233.4,9,7,16,4,8,3,2,3,-7,52,48,36,20,116.87573964497041,22.124260355029588,4.201183431952662,4.189349112426036,232.3491124260355,187.60355029585796,154.29585798816566,33.650887573964496,7
332,Max Christie,Los Angeles Lakers,G,52,154,17,35,625.7,9,12,500.0,9,19,420.0,3,15,18,13,4,3,1,5,-8,83,70,65,31,70.62283737024222,16.048442906574397,29.84429065743944,5.27681660899654,245.4498269896194,136.3044982698962,162.7993079584775,62.86159169550173,10
333,Max Strus,Cleveland Cavaliers,SG,118,312,42,93,422.4,12,15,316.7,22,62,318.5,11,20,31,48,25,6,16,4,-32,197,149,166,79,288.89273356401384,29.78892733564014,24.9757785467128,31.79930795847751,403.7820069204152,330.9031141868512,380.8719723183391,35.66435986159169,10
334,Maxi Kleber,Dallas Mavericks,PF,39,237,12,35,282.8,8,13,300.0,7,23,266.6,6,37,43,14,15,3,4,9,55,96,82,53,57,129.44444444444443,104.8456790123457,10.5,5.0,435.53086419753095,371.141975308642,163.61111111111111,145.5679012345679,10
335,Michael Porter Jr.,Denver Nuggets,SF,193,334,75,147,506.4,14,14,600.0,29,75,394.8,15,60,75,19,20,7,13,5,37,287,268,212,94,727.726643598616,110.81314878892735,17.27681660899654,21.8719723183391,1390.22491349481,1309.3356401384083,784.076124567474,152.62975778546712,10
336,Mikal Bridges,Brooklyn Nets,SF,156,350,56,149,360.79999999999995,21,32,419.4,23,78,314.59999999999997,8,35,43,40,11,11,15,2,-38,239,199,196,83,804.0250000000001,37.0,48.225,27.325,893.3000000000001,906.925,778.5,97.125,10
337,Mike Conley,Minnesota Timberwolves,PG,102,283,35,83,389.8,16,18,433.3,16,47,325.0,10,24,34,45,12,12,17,0,-16,181,136,147,79,327.7,34.800000000000004,57.525000000000006,18.425,236.925,184.50000000000003,346.325,126.12500000000001,10
338,Mike Muscala,Oklahoma City Thunder,C,26,108,9,29,234.2,1,2,50.0,7,20,250.0,5,12,17,4,4,2,1,1,40,47,43,30,21,75.50617283950618,11.0,6.0246913580246915,8.876543209876543,155.22222222222223,132.06172839506172,91.55555555555556,24.1358024691358,8
